author,image,name,price
Isabel Wilkerson,"https://images-na.ssl-images-amazon.com/images/I/81MVfud0o8L._AC_UL200_SR200,200_.jpg",Caste (Oprah's Book Club): The Origins of Our Discontents,$19.20
Brit Bennett,"https://images-na.ssl-images-amazon.com/images/I/81LYYbsEPeL._AC_UL200_SR200,200_.jpg",The Vanishing Half: A Novel,$16.41
Erik Larson,"https://images-na.ssl-images-amazon.com/images/I/91ABn71jLcL._AC_UL200_SR200,200_.jpg","The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",$19.20
Ruth Bader Ginsburg,"https://images-na.ssl-images-amazon.com/images/I/71DB4SAup3L._AC_UL200_SR200,200_.jpg",My Own Words,$10.97
Claire Saffitz,"https://images-na.ssl-images-amazon.com/images/I/A16elJ-4lpL._AC_UL200_SR200,200_.jpg",Dessert Person: Recipes and Guidance for Baking with Confidence,$15.64
J K Rowling,"https://images-na.ssl-images-amazon.com/images/I/61l2kQZ0NBL._AC_UL200_SR200,200_.jpg",The Ickabog,$13.49
Crystal Radke,"https://images-na.ssl-images-amazon.com/images/I/71XQe19mZtL._AC_UL200_SR200,200_.jpg","My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",$5.39
Rick Riordan,"https://images-na.ssl-images-amazon.com/images/I/91c1ZqCal9L._AC_UL200_SR200,200_.jpg",Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),$21.00
Kiki Thorpe,"https://images-na.ssl-images-amazon.com/images/I/71WelwnPwOL._AC_UL200_SR200,200_.jpg",The Never Girls Collection #1 (Disney: The Never Girls): Books 1-4,$15.50
Eric Carle,"https://images-na.ssl-images-amazon.com/images/I/71KilybDOoL._AC_UL200_SR200,200_.jpg",The Very Hungry Caterpillar,$4.98
J. K. Rowling,"https://images-na.ssl-images-amazon.com/images/I/71fNalmuvbL._AC_UL200_SR200,200_.jpg",Harry Potter Paperback Box Set (Books 1-7),$52.16
Guinness World Records,"https://images-na.ssl-images-amazon.com/images/I/A1TJNCSNPzL._AC_UL200_SR200,200_.jpg",Guinness World Records 2021,$13.25
Brandon Stanton,"https://images-na.ssl-images-amazon.com/images/I/81GeAcdMCsL._AC_UL200_SR200,200_.jpg",Humans,$17.50
School Zone,"https://images-na.ssl-images-amazon.com/images/I/81HCcHPXZnL._AC_UL200_SR200,200_.jpg","School Zone - Big Preschool Workbook - Ages 3-5 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading, Phonics, and More",$6.69
Roger Price,"https://images-na.ssl-images-amazon.com/images/I/81FrXLgR4DL._AC_UL200_SR200,200_.jpg",Star Wars Mad Libs,$4.99
Share The Love Gifts,"https://images-na.ssl-images-amazon.com/images/I/610i8M-iCWL._AC_UL200_SR200,200_.jpg",Dad Jokes: Terribly Good Dad Jokes,$6.99
Sourcebooks,"https://images-na.ssl-images-amazon.com/images/I/91Uh0bjVvTL._AC_UL200_SR200,200_.jpg","2021 The Legacy of Ruth Bader Ginsburg Wall Calendar: Her Words of Hope, Equality and Inspiration ― A yearlong tribute to the notorious RBG (12-Month Monthly Calendar)",$10.13
Glennon Doyle,"https://images-na.ssl-images-amazon.com/images/I/91AQs6qv9ML._AC_UL200_SR200,200_.jpg",Untamed,$15.98
Pete Hegseth,"https://images-na.ssl-images-amazon.com/images/I/71FuLFsac%2BL._AC_UL200_SR200,200_.jpg",Modern Warriors: Real Stories from Real Heroes,$20.99
James Clear,"https://images-na.ssl-images-amazon.com/images/I/91pR9wKJ3zL._AC_UL200_SR200,200_.jpg",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,$11.98
Humor Heals Us,"https://images-na.ssl-images-amazon.com/images/I/81AII4udkBL._AC_UL200_SR200,200_.jpg",Fritz the Farting Reindeer: A Story About a Reindeer Who Farts,$11.99
Delia Owens,"https://images-na.ssl-images-amazon.com/images/I/81-349iYbfL._AC_UL200_SR200,200_.jpg",Where the Crawdads Sing,$11.16
