Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester
Affective Computing,AFC,CSE661,"CSE101, CSE102, CSE201",None,Monsoon
Special Topics in Computer Vision,SCV,CSE662A,ECE350,None,Winter
Edge AI,EAI,CSE663,"CSE343/CSE543, CSE342/CSE542",None,Winter
Multimedia Security,MS,CSE694F/ECE651,ECE350,None,Winter
Advanced Topics in Mobile Computing,ATMC,CSE734,CSE232,None,Winter
Network Anonymity and Privacy,NAP,CSE749,None,None,Monsoon
Topics in Cryptanalysis,TC,CSE793A,None,None,Winter
Design Drawing & Visualization,DDV,DES101,None,None,Winter
Prototyping Interactive Systems,PIS,DES130,None,None,Monsoon
Design Processes and Perspectives,DPP,DES201,DES101 or DES202,None,Monsoon
Visual Design & Communication,VDC,DES202,DES101,None,Monsoon
Human Computer Interaction ,HCI,DES204,None,None,Winter
Animation and Graphics,A&G,DES302,None,None,Winter
Film Making and Radio Podcasting,FMRP,DES303,None,None,Monsoon
Fundamentals of Audio for Engineers,FAE,DES501,None,None,Monsoon
Narratives in Visual Communication,NVC,DES504,None,None,Winter
Fundamentals of Video for Engineers,FVE,DES507,None,None,Winter
Game Design and Development,GDD,DES512,None,None,Winter
"Wearable Applications, Research, Devices, Interactions",WARDI,DES513,None,None,Monsoon
Digital Audio,DA,DES514,None,None,Monsoon
Information Systems in Public Health,ISPR,DES515,None,None,Monsoon
Introduction to 3D Production Design for Animation and Games,I3DD,DES516,None,DES302,Monsoon
Introduction to 3D Character Animation,I3D,DES516s,None,DES302,Winter
Introduction to Motion Graphics,IMG,DES518,None,None,Monsoon
Design of Interactive Systems,DIS,DES519,None,None,Monsoon
Human Centred AI,HCAI,DES520,"DES204, CSE643 or CSE343/CSE543 or CSE440",None,Monsoon
Digital Circuits,DC,ECE111,None,None,Monsoon
Basic Electronics,BE,ECE113,None,None,Winter
Integrated Electronics,IE,ECE214,"ECE111, ECE113, DES130",None,Winter
Circuit Theory and Devices,CTD,ECE215,None,None,Monsoon
Fields and Waves,F&W,ECE230,MTH100,None,Winter
Principles of Communication Systems,PCS,ECE240,"ECE250, MTH201",None,Winter
Signals and Systems,S&S,ECE250,MTH100,None,Monsoon
Embedded Logic Design,ELD,ECE270,None,None,Monsoon
